ENGLISH COMPOSITION (9 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
ENGL 1150,Composition I,,,
ENGL 1160,Composition II,,,
CIST 3000,Adv Comp for IS&T,,,
Remaining:9Compl:0,,,,
MATHEMATICS (3 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
MATH 1310 or test out,,,,
Remaining:3Compl:0,,,,
PUBLIC SPEAKING (3 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CMST 1110,Public Speaking,,,
CMST 2120,-OR- Debate,,,
Remaining:3Compl:0,,,,
HUMANITIES (9 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CIST 3110,IT Ethics,-,-,
"",,,,
"",,,,
Remaining:6Compl:0,,,,
SOCIAL SCIENCE (9 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CIST 2100,"Orgs, Apps & Tech",*,*,
"",,,,
"",,,,
Remaining:6Compl:0,,,,
NATURAL/PHYSICAL SCIENCE (7 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
"",,,,
"",,,,
"",Lab,,,
Include 2 different areas; 1 with a lab,,,,
Remaining:7Compl:0,,,,
GLOBAL DIVERSITY COURSE (3 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
IASC 1100,Intro to Info Security,*,*,
US DIVERSITY COURSE (3 CREDIT HRS),,,,
Course #Course NameGradeCr,,,,
"",,,,
Remaining:3Compl:0,,,,
Cybersecurity Curriculum Requirements,,,,,
IS&T CORE COURSES (9 CREDIT HRS),,,,,
Course #Course NameGradeCrNotes,,,,,
CIST 1400,Intro to Comp Prgrm,,,,
CIST 2100,"Orgs, Apps & Technology",,,,
CIST 3110,IT Ethics,,,,
Remaining:9Compl:0,,,,,
MATHEMATICS COURSES (8 CREDIT HRS),,,,,
Course #Course NameGradeCrNotes,,,,,
MATH 1950,Calculus I,,,,
CSCI 2030,Math Foundations of CS,,,,
Remaining:8Compl:0,,,,,
COMPUTER SCIENCE CORE COURSES (21 CREDIT HRS),,,,,
Course #Course NameGradeCrNotes,,,,,
CSCI 1620,Intro to Comp Science II,,,,
IASC 2250,Low-Level Programming,,CS 2240 replaced w/I,,
CSCI 3320,Data Structures,,,,
CSCI 3550,Communication Networks,,,,
CSCI 3710,Intro to Digital Design,,,,
CSCI 4350,Computer Architecture,,,,
CSCI 4500,Operating Systems,,,,
Remaining:21Compl:0,,,,,
CYBERSECURITY CORE COURSES (30 CREDIT HRS),,,,,
Course #Course NameGradeCrNotes,,,,,
IASC 1100,Intro to Info Security,,,,
IASC 3350,Security Admin-Linux,,,Fall only,
IASC 3370,Security Admin-Windows,,,,
IASC 3570,Cryptography,,,Fall only,
IASC 3600,"Info Security, Policy & Aware",,,,
IASC 4360,Found of Info Assurance,,,,
IASC 4380,Comp & Network Forensics,,,Fall only,
IASC 4450,Host Vulnerablity Discovery,,,Spring only,
IASC 4460,Network Vulnerability Discovery,,Fall only,,
IASC 4580,IA Capstone,,,Spring only,
Remaining:30Compl:0,,,,,
ELECTIVE COURSES (6 CREDIT HRS),,,,,
CSCI 1200*,Comp Science Principles,,,* If not,
CIST 1300*,Or Intro to Web Dev,,,waived,
CIST 1940*,Or Intro to Functional Pgm,,,Fall only,
Remaining:6Compl:0,,,,,
CYBERSECURITY ELECTIVES (9 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
ISQA 3310,Mng the DB Environment,,,
ISQA 3910,Intro to Project Mgmt,,,
CSCI 4220,Programming Languages,,,
ISQA 4380,Distrib Techs & Systems,,,
IASC 4540,Computer Security Mgmt,,,
CSCI 4560,Nmbr Theory & Cryptography,,,
CSCI 4830,Intro to SW Engineering,,,
CSCI 4900,Internet Sys Development,,,
IASC 4430,Quantum Computing & Cryptography,,,
IASC 4440,Industrial Control Systems Security,,,
IASC 4950,Internship in IA,,,
IASC 4980,Special Topics in IA,,,
5IA0SC 4990,Independent Study in IA,,,
Remaining:9Compl:0,,,,
CO-REQUISITE COURSES: Political Science area (6 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
PSCI 4250,Intelligence & Natl Security,,,
PSCI 4260,International Law,,,
Remaining:6Compl:0,,,,
